ID,Product Name,Price in ?,Discount %,Link
9,g shock watches,719,64,https://www.flipkart.com/xergy-water-resistant-alarm-stopwatch-led-light-dual-time-analog-digital-watch-men/p/itmetezy5t8gd49b?pid=WATETEZYGZNWHKD6&srno=s_1_36&otracker=search&lid=LSTWATETEZYGZNWHKD6QV2BFK&iid=8a24321f-8132-476d-8b95-0716ca83c33d.WATETEZYGZNWHKD6.SEARCH&qH=a2f3f7bcee831312
10,g shock watches,719,64,https://www.flipkart.com/xergy-peacemaker-series-analog-digital-water-resistant-alarm-stopwatch-led-light-dual-time-sports-analog-digital-watch-men/p/itmetdvzr9anwagd?pid=WATETDVZAYSJZXUJ&srno=s_2_6&otracker=search&lid=LSTWATETDVZAYSJZXUJ2M5EDY&iid=ff5c1e8a-81dc-49e0-89aa-b2367e78920e.WATETDVZAYSJZXUJ.SEARCH&qH=a2f3f7bcee831312
11,g shock watches,424,71,https://www.flipkart.com/om-designer-s-shock-analog-digital-dual-watch-boys-men-g-shock-112/p/itmeu23m5kaqxgpd?pid=WATEU23MQPQMHSRE&srno=s_2_7&otracker=search&lid=LSTWATEU23MQPQMHSRE67KZHE&iid=479a92b4-0de3-432a-89cd-d5dee4970abf.WATEU23MQPQMHSRE.SEARCH&qH=a2f3f7bcee831312
12,g shock watches,719,64,https://www.flipkart.com/xergy-peacemaker-2017-series-water-resistant-alarm-stopwatch-led-light-dual-time-analog-digital-watch-men/p/itmeth3pkzsxedyp?pid=WATETH3PYQHUHKMQ&srno=s_2_8&otracker=search&lid=LSTWATETH3PYQHUHKMQN3YIAO&iid=490b4f36-35d5-4cd1-aa60-517843b529c2.WATETH3PYQHUHKMQ.SEARCH&qH=a2f3f7bcee831312
13,g shock watches,449,77,https://www.flipkart.com/s-shock-g-shock-analog-digital-watch-boys/p/itmeksd59pjr2bhs?pid=WATEKSD5F5M4AGQN&srno=s_2_18&otracker=search&lid=LSTWATEKSD5F5M4AGQNPKGA11&iid=423f9b08-28b9-4ac2-a722-a5dde0ec581a.WATEKSD5F5M4AGQN.SEARCH&qH=a2f3f7bcee831312
14,g shock watches,395,64,https://www.flipkart.com/fashion-gateway-11002c1-s-shock-analog-digital-watch-boys-girls/p/itmerpygeqednw6v?pid=WATERPYGHXWJK8UH&srno=s_2_19&otracker=search&lid=LSTWATERPYGHXWJK8UHH7LRQY&iid=b77ffb27-3724-4534-af01-899f2354445b.WATERPYGHXWJK8UH.SEARCH&qH=a2f3f7bcee831312
15,g shock watches,719,67,https://www.flipkart.com/mikalo-gshock-analog-digital-watch-men-women/p/itmew2fds8vx5hy4?pid=WATEW25KCNHF5VHY&srno=s_2_20&otracker=search&lid=LSTWATEW25KCNHF5VHY4YUSH6&iid=1b1bcba0-ba9f-470d-aee0-7de4bfb23ee1.WATEW25KCNHF5VHY.SEARCH&qH=a2f3f7bcee831312
16,g shock watches,265,70,https://www.flipkart.com/s-shock-s04-sports-analog-digital-watch-men-women/p/itmeghzzuzyru2bf?pid=WATEGHZZESV3QHFX&srno=s_2_30&otracker=search&lid=LSTWATEGHZZESV3QHFXDMV2JL&iid=0b4c039c-f5a3-4e33-9244-44a0120860e0.WATEGHZZESV3QHFX.SEARCH&qH=a2f3f7bcee831312
17,g shock watches,340,65,https://www.flipkart.com/abrexo-abx-4009-rd-pck-convention-analog-watch-women/p/itmeqybbykyr7gcz?pid=WATEQYBBSNFKZGNB&srno=s_2_31&otracker=search&lid=LSTWATEQYBBSNFKZGNBRQMALU&iid=ba11f069-9e97-48e7-ab91-02e90051ffdc.WATEQYBBSNFKZGNB.SEARCH&qH=a2f3f7bcee831312
18,g shock watches,719,67,https://www.flipkart.com/mikalo-trendy-gshock-analog-digital-watch-men/p/itmevnfya9azvkvn?pid=WATEVNFYJYHTUGXE&srno=s_2_32&otracker=search&lid=LSTWATEVNFYJYHTUGXEDJCU98&iid=6b529526-551c-4efe-87e3-a23d357223bb.WATEVNFYJYHTUGXE.SEARCH&qH=a2f3f7bcee831312
